country,country_code,sector,subsector,btype,bage,topic,feature,type,detail,estimated,value,unit,source,,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Useful energy demand,Space heating [kWh/m² year],,0,144.039290677804,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Useful energy demand,Space cooling [kWh/m² year],,0,21.9284567078817,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Useful energy demand,Domestic hot water  [kWh/m² year],,0,19.1332046086735,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Final energy consumption,Space heating [kWh/m² year],,0,191.269774091055,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Final energy consumption,Space cooling [kWh/m² year],,0,3.72783764033989,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Final energy consumption,Domestic hot water [kWh/m² year],,0,28.6998069130103,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Total useful energy demand,Space heating+Domestic hot water [TWh/year],,0,11.9872168184701,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Total useful energy demand,Space cooling [TWh/year],,0,0.031577856650691,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Total final energy consumption,Space heating+Domestic hot water [TWh/year],,0,16.1770821449881,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,Before 1945,ENERGY,Total final energy consumption,Space cooling [TWh/year],,0,0.006152504247529,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
